economy,cluster,gdp_per_capita,ai_readiness,gdp_growth,arm_relative
LCA,0,11854.9517233237,0.0,3.89175024218898,0
LCN,0,8873.03538905768,83.7,2.25365117533329,0
LDC,2,1091.33824852468,33.7,3.85645809654653,0
LIC,2,663.92559694882,23.4,2.32616172345091,0
LIE,3,167187.15730982,98.2641983,-1.15748291975636,0
LKA,2,4186.4986638365,0.0,5.00871930957159,0
LMC,2,2425.46811159982,62.9,5.17324978806563,0
LMY,0,5652.87507726956,0.0,4.36075037491024,0
LSO,2,991.069661910744,0.0,2.85452253179545,0
LTE,1,11914.0272194525,0.0,4.48755005392181,0
LTU,0,19092.6451176955,0.0,2.77263124530285,0
LUX,1,104147.1739928,99.12902211,0.35861253942069,0
LVA,0,16374.773539624,0.0,-0.0461080109713521,0
MAC,1,63377.2932129214,0.0,7.84960207010525,0
MAF,0,6730.26828824205,0.0,4.89999967133534,0
MAR,0,3516.15405273438,0.0,3.79336515978963,0
MCO,1,247170.219910657,68.89262199561034,8.51053758860212,0
MDA,0,3851.51202518347,0.0,0.103059364371205,1
MDG,2,453.383067004772,0.0,4.19999999988647,0
MDV,0,11798.791369146,0.0,3.49440422654285,0
MEA,0,5466.08902649321,63.7,2.11232485351741,0
MEX,0,10316.4611902215,0.0,1.42742769080466,1
MHL,0,5811.03355673487,42.37922739791937,2.50192717852873,0
MIC,0,6177.02279223057,0.0,4.38303528532211,0
MKD,0,6628.84686594032,93.1,2.99373536567732,0
MLI,2,909.755317910813,0.0,4.99226917482922,0
MLT,1,34670.0815997119,0.0,6.79990300224401,0
MMR,2,1158.47928099316,0.0,-0.97204641363362,1
MNA,2,3023.05283337065,0.0,2.22259348944316,0
MNE,0,8540.00828913129,0.0,3.16409886329913,0
MNG,0,4626.79609644243,0.0,5.12204539122661,0
MNP,0,19461.8611129744,0.0,16.6427546628408,0
MOZ,2,605.604720848519,0.0,2.14854964610538,0
MRT,2,1688.6139322919,0.0,6.30760213290844,0
